artist_id,album_id
1Vd1ju7uRATHqeXM9DWLvG,0THIWjmxSAqrsaw9x1Jna6
1PcaAbog9b6EkYUISoJQY3,3MuUsOxZToZxScFTEbMrMZ
49QQjaWEsbDekEy6y73C5R,2tgaaAhAHRzu9mYcl8r9rQ
0PwXJpoSJEOIiPNvartOr6,05HoVx616znjadmIv05L5J
1Y8atOnzQHAJzHLaau7ro4,4e46s5DI3JPrPYqUb3paSi
6O2zJ0tId7g07yzHtX0yap,5LVI9MdD7IpCrAjFZALbZm
4mIjPrYpcE6F3NrK55cMpx,57VjSMVnHcphl77KaFXklb
2LlR7GoseYbrwpkAiML6d7,4fHpthFHzrX3Mq4DQFTtGa
4IALHiQ0AXC3oLrtUo6MQP,6GhAyW7hdyaGiKrWz8umz9
5Vxesu0yf90UldBLw0b9EK,4SmqvSHvQgoJ9j0ENzutfr
0Gw7gp8pc8w28WQcsGSZCH,6v149VGGtR49yBTtkNEVLu
4an2njvaRdBLb5C6hAMCFy,20sSPVi0Yv59Y8joLMketZ
4eWvHAcWh3Hq6DYJ9K3mD4,3Ta3apHYURhFUgDF3Zyfyf
5yvfrJsie1dYS5EW0fdh2g,1a80vzhcejcOI3kq0MlQbh
3CI0BdDDxe6D21RmqTB5fn,7jCeH7aOnHVzYY3x6SZHXG
7dQfIwcr0mOEpDAort9GOr,1K1UwyeilxEMy5vsjqerKZ
18zFsOC20KUzWDnvGdITar,7ElqzDl9Ic2vbfHlcSXKqr
3GvKHsA1GQ2TUWu8MWszlA,5qDBJdQbJ8lUVMSocNJzLE
6jrlNnS5B830kpi40j3S6g,1ASwTyZzFQF55APfMdWmjy
5HcabOq7seoCh5P0Hy9kOy,0RX77fHH3myYDK9PlCiCgP
0HjoyITAvSVktTCjXUa40Q,0mKXj9hXclmhvassTP0LCw
77tT1kLj6mCWtFNqiOmP9H,4evw6IBex3N8x1oA2axMTH
7GXitJkePOpnuGE9NTpEJT,0mEGQwsgb8JBLl4GlGTXgy
1sl030CWf4SXF7wl4t8wUn,6FJAeCCLJX0N37ZxaeIyEp
0XErJwG6aCEj7NpKsEZrrO,6KUrpcJMp9uJqdOSL9CgrC
0mSiEexq3UzP1mTfV2AyR3,6PNOWkBlg4TCjCrf9N0e5M
7JDIzsiYm1WS3zUpiTdW52,3x0QvXBhPigYVIx0KXHo3U
4fdbqWZ8aHpOMSIrMUnpeu,6P0VKj69aq75b2Z2G7f5PT
3voPuzrtSACEXS6tu34phl,3zyO1UAvmOCyhT4WcNyALi
311YvzOtSRXafsXGtUJbqD,0TWTccVy12FxTqzzCBEhZs
7HV881sXJ2pYjaqbQ8YOYp,03529etP0mS9TD7Lemdme6
3JYrJ6LKf3T4CZ4tkDRL3L,1beOIvGj2vjmhHxTbglwam
2gQKtXD5BZqKT8Tl9JfFcy,4XmXbeMwxrtEYeRxSzcZcT
21DDunKoUpOWBax5LIULe5,5qNfTjXiyNX9abxpcpR1jO
5kM4H3hu2dxxk9erCAZA2e,2NdzGOQZHPJkzwoOb1glJW
7qdsk0UXx2jCX7jbp6rxeq,0lj2bdyk72Q8t07N9VdLQL
2Kl4Ty2DWTZMsSSinkEFmK,0mS9xWRLmgbBK2sxJhNVOT
3XmgLoWX4cpNBTMp2K84Ss,6TjyyLiz6gadDIVWoYAVOU
1T4aTSdPXl4QY46i9FBg6j,0Jboy9InVuUGlqdPIvQjJN
1xwEwfwgvdrYZ2rm654VhL,24rk8o0jlDYt7vmaQb1C4W
3pn99iMmpLra8hCwKRSTgI,47vJTwboMrSgqvNdVd9fN0
68klHWrqL5uWq2Qjqaz46j,02sw2Hl2NWJq4Zc1yEkxX3
0mTfntDCCWRozUnyxpGf6E,3cDZbMbVN3SinnxKkBL3gF
62sBTRcxMwMeMc6w2twnQr,7IX16yEt6HP5hSM2lfYk8a
48lQaQwwW8t2wNeqyFT3Um,3QS91GbgJ7Gn15q3LTdFsm
5lgdwxuV7loJ8CJIWZxVaB,0N9ZsHvjhMo5ZVr2Egfdob
2hHapL7xSbX3x2SaovvCad,0itZsQ1Wl7ydom85BkWsFa
6NNuzcZMEfHetSqhPn7t9s,0UCOcoLLkBBXRNTDjvHbT9
1WHoAjAWGx5qLsgzpaOk7W,4mE905v6ky7OTUYME2VnEN
7krh6ZjG7i7jvLGiG3YNJF,1nmoNflY4AJrxe7xeWUWOF
01N1aZStXA4yGvkz4vRXtJ,1tzNARIgpb3OotsENaVJ0v
75NqPJJAIJwlUPizDVfBVI,6Cll2dwompov2S0TwhotJX
5grqGXJzsEbAf9wuY6eQNy,04B4m2VycuvfTn1mDgFVkT
0lsuCH8qG9UM8BihdL1Vsc,0fVNuphfUt4law4I0HuhPa
08IbGACeMq9JxamNvNltPo,6W9tpipBB9T8FZpTrSjh8g
0Ot21Sy0MDkbgacGh22omF,2sugWVTlMntqT8bjrsbNbz
4E5nnaQxGmUQCQeuGrXsql,1s0s3uUaU5CVFAYU17ZAuR
6UpFUXmXvDV7Qj1SPymamh,2KOaa5VC9kV7GTKcHTFoTS
4TUb9ohRChEMijnOJuQ3ql,4MQmnlcm3FvImomuZyxqCJ
4vQLu6vYK0hp8k0fsAzsU8,5k5sTMloKm2hXD725RH3CY
17hR0sYHpx7VYTMRfFUOmY,6dMBeQsDfQ8zCosgkwKPsh
2kfFvaclobAe56G43yOAbS,34A6Gg4vAIhL4M4YOZW2yV
4tiGY5k0vmyz1eLLppihMk,5GeHngyaPy4vNzS6p6R9j0
5GJcCmDYNPY1sNRFtRHsDa,4N9VMYoqQ1QodOil8eI9e8
019N8MmzjydRlDJ8dtxPU8,1I3xmHyUPzm5p3F0QiH20H
0augulkuXFx1qPfb590w2C,5oNBMrK7Upa0tbWsmlDQAt
3ikKyCOrsMeANi0d5u8BCR,2G172t9joEhgY1QNYP4nAU
0wue0kb0Gx7T6b3JEb6NVk,69AM6fVvxPM8IfjoCRe35e
35Ck71vURr6xVyxfWwNHKD,0EC9OBMcl6Q9LdMxDUPRyd
4vOfKh5wz7lTcdqB3EwsC5,1FyfrG3tPjVWP4fSCIxbcs
0iSv9ZRAjpDv5ma3JCPM2q,2zkjDS6298iTDYi2JJUKjg
2lMw9KHEs2ymoFBRuSrMHk,3QUuc7R1M3yklpurW62vzb
7aLCTLGR7gfEbXf4kxXots,4pcMiDI1CbYmxNdteujdqU
0Y0Kj7BOR5DM0UevuY7IvO,317ppskWfxNJ1Fle9WdMyh
5cRHyuwYyrvGYhwiSnqNBM,0WnxjibhqzccnvER0uYPFV
5xqHn8w4t2BZEPTY6XxxZD,2WB8diL4x525lp2xnMl3ib
0JM134st8VY7Ld9T2wQiH0,4wqAuMMHRl2Hql4zdndlez
4THwMUqo7dESPRjQn3sX0E,20uBoM4gY3ugXi3I1wevPk
5DVkkJqypmjmRLJL9UurmI,4Bxxb3P1HUStpnFukKfdUS
3kZ87yoF7d0FcRKAqQw6M0,0rutYKPk7aFyz6aRoNDEwp
2Lhs0asnFQiLuntn3s8p78,7vZ64RCvITaHsTtWGcj3KC
176pc3egGtAemFBKemw5Ms,2A99wbUNwrUU1KyK4Sot4u
3deUsESIckTsBmIHIQvEdW,4WuTocvzbt9jvqiT7aItkF
1qsv5nPGCKcjBBw6Ks0brG,7v7kVZUbo0O5kzBR7Q6bjA
6ev0XZRYUkfC6GmYReB7MD,7opPV7CaxJklyFcby2Zk50
3VQfHuqrRK1CNXR1V8PeR9,4F9bBF6egZaLSCxlufFBm5
0ya3102McsUaWhMnRCnYVW,3Na7wNz8laJmyCykFxII4t
3OAbeITakkY6SSDBX6fZWj,6LWdXPpdVShQI8Sp6bryhW
6hXEi9rWycKtrsAwUlbBEd,6RdROAqrGo2HPyO3U2C9li
2ho340nQGxHU6Jb28wXBMW,3iwgb4ZqumIrtTN1yZvu2Z
1tuuY9TvjCk1i6ONC0pe0B,0Rrr8712thXvP56iPAd32C
5ZOzmjlhzIurQzEDnz16N9,3e3vjAiuz5NEAwbV74cGgY
7hueZY91Csxv57p4KnPVcU,0hb5XUWaBqKUZYyYBp0cAp
4vI0xGbQl2cMnMiagUEBOj,5TZM8FoHBlbqXBKCllJH8i
6wCmQ5LEM6v2n9USVnD602,2LgvD4COBedTSLmggZvBOq
0WdNVS1rOeusXfVUx3tYOL,3JhGfTzA7E7QZEhqayWHvi
6Cah3sjWLc8mAtoEiQDnsB,3Y86J7vB9astMHw3IcoK7U
0iXqD1nqpUcsb023DeKEaK,1Jdg6zJAs7fELVWs9GvolS
1bYQqdhzALYhq9UWTxS7cb,3FhSPWIgvUxQMvBZjR1H73
2IbjTarJBxOHkAX9SPK3SV,1OSKfF4V1vaGoyjywV30Gc
